code,id,equipement_id,date,x,voie,horodatage,vitesse,longueur
M7i,6460,6460,2019-02-18 00:24:08.549,13843100043.0,1.0,3843.0,100.0,43.0
M7i,6460,6460,2019-02-18 00:24:21.048,5327094039.0,0.0,5327.0,94.0,39.0
M7i,6460,6460,2019-02-18 00:24:51.082,1844109046.0,0.0,1844.0,109.0,46.0
M7i,6460,6460,2019-02-18 00:25:08.548,4129106043.0,0.0,4129.0,106.0,43.0
M7i,6460,6460,2019-02-18 00:25:38.548,10834109039.0,1.0,834.0,109.0,39.0
M7i,6460,6460,2019-02-18 00:25:56.548,2529106044.0,0.0,2529.0,106.0,44.0
M7i,6460,6460,2019-02-18 00:26:08.548,3961112036.0,0.0,3961.0,112.0,36.0
M7i,6460,6460,2019-02-18 00:26:50.548,2218087045.0,0.0,2218.0,87.0,45.0
M7i,6460,6460,2019-02-18 00:27:26.548,15451101039.0,1.0,5451.0,101.0,39.0
M7i,6460,6460,2019-02-18 00:27:57.049,2413111041.0,0.0,2413.0,111.0,41.0
M7i,6460,6460,2019-02-18 00:28:14.548,24551124044.0,2.0,4551.0,124.0,44.0
M7i,6460,6460,2019-02-18 00:28:20.548,4999096047.0,0.0,4999.0,96.0,47.0
M7i,6460,6460,2019-02-18 00:28:27.048,15792105012.0,1.0,5792.0,105.0,12.0
M7i,6460,6460,2019-02-18 00:28:39.048,969098037.0,0.0,969.0,98.0,37.0
M7i,6460,6460,2019-02-18 00:28:51.048,1863099051.0,0.0,1863.0,99.0,51.0
M7i,6460,6460,2019-02-18 00:28:56.548,12455101035.0,1.0,2455.0,101.0,35.0
M7i,6460,6460,2019-02-18 00:29:03.049,3150087060.0,0.0,3150.0,87.0,60.0
M7i,6460,6460,2019-02-18 00:29:45.048,1717099041.0,0.0,1717.0,99.0,41.0
M7i,6460,6460,2019-02-18 00:29:51.048,2364097041.0,0.0,2364.0,97.0,41.0
M7i,6460,6460,2019-02-18 00:29:57.048,22693121039.0,2.0,2693.0,121.0,39.0
M7i,6460,6460,2019-02-18 00:30:03.048,3053087042.0,0.0,3053.0,87.0,42.0
M7i,6460,6460,2019-02-18 00:30:32.549,10271103035.0,1.0,271.0,103.0,35.0
M7i,6460,6460,2019-02-18 00:30:57.049,2712083045.0,0.0,2712.0,83.0,45.0
M7i,6460,6460,2019-02-18 00:31:09.049,14081084158.0,1.0,4081.0,84.0,158.0
M7i,6460,6460,2019-02-18 00:31:27.048,15740089108.0,1.0,5740.0,89.0,108.0
M7i,6460,6460,2019-02-18 00:31:32.549,20266152038.0,2.0,266.0,152.0,38.0
M7i,6460,6460,2019-02-18 00:31:44.548,11731083036.0,1.0,1731.0,83.0,36.0
M7i,6460,6460,2019-02-18 00:32:08.548,13863101042.0,1.0,3863.0,101.0,42.0
M7i,6460,6460,2019-02-18 00:32:27.048,15950125044.0,1.0,5950.0,125.0,44.0
M7i,6460,6460,2019-02-18 00:32:45.048,11372102043.0,1.0,1372.0,102.0,43.0
M7i,6460,6460,2019-02-18 00:32:50.548,11866122045.0,1.0,1866.0,122.0,45.0
M7i,6460,6460,2019-02-18 00:33:02.549,3137104043.0,0.0,3137.0,104.0,43.0
M7i,6460,6460,2019-02-18 00:33:08.549,13912104038.0,1.0,3912.0,104.0,38.0
M7i,6460,6460,2019-02-18 00:33:51.049,12261130048.0,1.0,2261.0,130.0,48.0
M7i,6460,6460,2019-02-18 00:33:57.049,12937110038.0,1.0,2937.0,110.0,38.0
M7i,6460,6460,2019-02-18 00:34:02.548,13200080037.0,1.0,3200.0,80.0,37.0
M7i,6460,6460,2019-02-18 00:34:08.548,13715112052.0,1.0,3715.0,112.0,52.0
M7i,6460,6460,2019-02-18 00:34:21.048,14961101038.0,1.0,4961.0,101.0,38.0
M7i,6460,6460,2019-02-18 00:34:27.048,5675103048.0,0.0,5675.0,103.0,48.0
M7i,6460,6460,2019-02-18 00:34:33.048,10041095038.0,1.0,41.0,95.0,38.0
M7i,6460,6460,2019-02-18 00:34:45.049,11684128044.0,1.0,1684.0,128.0,44.0
M7i,6460,6460,2019-02-18 00:34:50.548,1897100060.0,0.0,1897.0,100.0,60.0
M7i,6460,6460,2019-02-18 00:35:08.548,3860102038.0,0.0,3860.0,102.0,38.0
M7i,6460,6460,2019-02-18 00:35:27.048,5430089039.0,0.0,5430.0,89.0,39.0
M7i,6460,6460,2019-02-18 00:35:38.548,10783099041.0,1.0,783.0,99.0,41.0
M7i,6460,6460,2019-02-18 00:35:51.049,11956100048.0,1.0,1956.0,100.0,48.0
M7i,6460,6460,2019-02-18 00:36:14.548,24697122040.0,2.0,4697.0,122.0,40.0
M7i,6460,6460,2019-02-18 00:36:32.548,10587086105.0,1.0,587.0,86.0,105.0
M7i,6460,6460,2019-02-18 00:36:39.048,1184086043.0,0.0,1184.0,86.0,43.0
M7i,6460,6460,2019-02-18 00:36:56.548,2518094040.0,0.0,2518.0,94.0,40.0
M7i,6460,6460,2019-02-18 00:37:09.049,3784140042.0,0.0,3784.0,140.0,42.0
M7i,6460,6460,2019-02-18 00:37:20.548,15256100040.0,1.0,5256.0,100.0,40.0
M7i,6460,6460,2019-02-18 00:38:32.548,10074096045.0,1.0,74.0,96.0,45.0
M7i,6460,6460,2019-02-18 00:38:39.049,10968089054.0,1.0,968.0,89.0,54.0
M7i,6460,6460,2019-02-18 00:38:50.549,2201090044.0,0.0,2201.0,90.0,44.0
M7i,6460,6460,2019-02-18 00:38:57.049,12696093035.0,1.0,2696.0,93.0,35.0
M7i,6460,6460,2019-02-18 00:39:08.548,3657090043.0,0.0,3657.0,90.0,43.0
M7i,6460,6460,2019-02-18 00:39:14.549,14672116043.0,1.0,4672.0,116.0,43.0
M7i,6460,6460,2019-02-18 00:39:38.549,10707121047.0,1.0,707.0,121.0,47.0
M7i,6460,6460,2019-02-18 00:39:44.548,1616095043.0,0.0,1616.0,95.0,43.0
M7i,6460,6460,2019-02-18 00:40:26.549,15527096044.0,1.0,5527.0,96.0,44.0
M7i,6460,6460,2019-02-18 00:40:44.549,1421088037.0,0.0,1421.0,88.0,37.0
M7i,6460,6460,2019-02-18 00:41:32.548,10466098041.0,1.0,466.0,98.0,41.0
M7i,6460,6460,2019-02-18 00:42:15.049,4591089043.0,0.0,4591.0,89.0,43.0
M7i,6460,6460,2019-02-18 00:42:20.549,4961087044.0,0.0,4961.0,87.0,44.0
M7i,6460,6460,2019-02-18 00:42:26.549,15675098041.0,1.0,5675.0,98.0,41.0
M7i,6460,6460,2019-02-18 00:42:39.048,609091037.0,0.0,609.0,91.0,37.0
M7i,6460,6460,2019-02-18 00:42:44.548,1420116043.0,0.0,1420.0,116.0,43.0
M7i,6460,6460,2019-02-18 00:43:03.049,13302072041.0,1.0,3302.0,72.0,41.0
M7i,6460,6460,2019-02-18 00:43:09.048,13924081037.0,1.0,3924.0,81.0,37.0
M7i,6460,6460,2019-02-18 00:43:32.549,10328142043.0,1.0,328.0,142.0,43.0
M7i,6460,6460,2019-02-18 00:43:39.048,11128090041.0,1.0,1128.0,90.0,41.0
M7i,6460,6460,2019-02-18 00:44:27.048,15715103042.0,1.0,5715.0,103.0,42.0
M7i,6460,6460,2019-02-18 00:44:32.548,101100046.0,0.0,101.0,100.0,46.0
M7i,6460,6460,2019-02-18 00:44:38.549,1137097041.0,0.0,1137.0,97.0,41.0
M7i,6460,6460,2019-02-18 00:44:56.549,12872100037.0,1.0,2872.0,100.0,37.0
M7i,6460,6460,2019-02-18 00:45:02.549,13059108044.0,1.0,3059.0,108.0,44.0
M7i,6460,6460,2019-02-18 00:45:15.049,4770122047.0,0.0,4770.0,122.0,47.0
M7i,6460,6460,2019-02-18 00:45:27.548,15672087039.0,1.0,5672.0,87.0,39.0
M7i,6460,6460,2019-02-18 00:45:33.048,10115069036.0,1.0,115.0,69.0,36.0
M7i,6460,6460,2019-02-18 00:45:51.048,12031091034.0,1.0,2031.0,91.0,34.0
M7i,6460,6460,2019-02-18 00:45:56.549,2435094039.0,0.0,2435.0,94.0,39.0
M7i,6460,6460,2019-02-18 00:46:15.048,4225112040.0,0.0,4225.0,112.0,40.0
M7i,6460,6460,2019-02-18 00:46:21.077,4869124051.0,0.0,4869.0,124.0,51.0
M7i,6460,6460,2019-02-18 00:46:38.549,10816120039.0,1.0,816.0,120.0,39.0
M7i,6460,6460,2019-02-18 00:47:15.049,14287114044.0,1.0,4287.0,114.0,44.0
M7i,6460,6460,2019-02-18 00:47:21.049,4866094042.0,0.0,4866.0,94.0,42.0
M7i,6460,6460,2019-02-18 00:47:32.549,294093043.0,0.0,294.0,93.0,43.0
M7i,6460,6460,2019-02-18 00:47:39.048,11005105045.0,1.0,1005.0,105.0,45.0
M7i,6460,6460,2019-02-18 00:47:51.048,12302094036.0,1.0,2302.0,94.0,36.0
M7i,6460,6460,2019-02-18 00:47:56.549,2803105044.0,0.0,2803.0,105.0,44.0
M7i,6460,6460,2019-02-18 00:48:14.549,14474105036.0,1.0,4474.0,105.0,36.0
M7i,6460,6460,2019-02-18 00:48:51.048,2102108044.0,0.0,2102.0,108.0,44.0
M7i,6460,6460,2019-02-18 00:49:03.049,3468089164.0,0.0,3468.0,89.0,164.0
M7i,6460,6460,2019-02-18 00:49:15.548,4590093039.0,0.0,4590.0,93.0,39.0
M7i,6460,6460,2019-02-18 00:49:21.048,14894085040.0,1.0,4894.0,85.0,40.0
M7i,6460,6460,2019-02-18 00:49:33.048,236088046.0,0.0,236.0,88.0,46.0
M7i,6460,6460,2019-02-18 00:49:51.048,1925158036.0,0.0,1925.0,158.0,36.0
M7i,6460,6460,2019-02-18 00:49:56.549,12987102039.0,1.0,2987.0,102.0,39.0
M7i,6460,6460,2019-02-18 00:50:32.549,10462077039.0,1.0,462.0,77.0,39.0
M7i,6460,6460,2019-02-18 00:51:02.002,12476092040.0,1.0,2476.0,92.0,40.0
M7i,6460,6460,2019-02-18 00:51:51.048,2125098054.0,0.0,2125.0,98.0,54.0
